"","Provincia","Barrio","Edad.jefe.a.del.hogar","X.De.qué.forma.obtiene.el.agua.dentro.de.su.vivienda.","X.Se.ve.usted.obligado.a.a.comprar.agua.embotellada.para.consumo.del.hogar.","X.Cómo.es.la.presión.del.agua.","X.Tiene.capacidad.de.almacenamiento.de.agua.en.altura.","X.Cuántos.litros.de.almacenamiento.de.agua.posee.","X.Posee.baño.letrina.en.la.vivienda.","X.En.dónde.suele.higienizarse.si.no.es.en.su.vivienda.","X.Los.baños.son.compartidos.con.otros.grupos.familiares.","X.Su.baño.letrina.posee.descarga.de.agua.","X.Qué.tipo.de.desagüe.posee.la.vivienda.","X.Posee.instalación.de.agua.en.la.cocina.","X.Posee.instalación.de.agua.CALIENTE.en.la.cocina...De.qué.tipo.","X.Posee.instalación.de.agua.en.el.baño.","X.Posee.instalación.de.agua.CALIENTE.en.el.baño...De.qué.tipo.","X.Qué.fuentes.de.energía.utilizan.para.cocinar.en.su.vivienda.","NA..1","NA..2","NA..3","NA..4","X.Cuál.es.la.principal.fuente.de.energía.que.utiliza.para.calefaccionar.la.vivienda.","NA..5","NA..6","NA..7","NA..8","NA..9","X.Tenés.algún.tipo.de.ventilación.para.la.calefacción...solo.para.leña..carbón.y.gas.","X.Qué.tipo.de.conexión.posee.a.la.red.eléctrica.","X.Qué.tipo.de.tendido.eléctrico.posee.dentro.de.la.vivienda.","X.Sufrió.la.pérdida.de.electrodomésticos.o.herramientas.de.trabajo.por.las.condiciones.de.la.instalación.eléctrica.EN.EL.ÚLTIMO.AÑO.","X.Sufrió.incendios.dentro.de.su.vivienda.durante.el.último.año.debido.a.las.condiciones.de.la.instalación.eléctrica.","X.Son.frecuentes.los.cortes.del.suministro.eléctrico.en.verano.","X.Son.frecuentes.los.cortes.del.suministro.eléctrico.en.invierno.","X.Posee.servicio.de.internet.de.banda.ancha.en.la.vivienda.","En.su.hogar.hay.AL.MENOS.UN.celular.que.permite.el.acceso.a.internet.a.través.de.datos.móviles..abono.tarjeta.","X.Cuántos.abonos.prepagos.de.datos.móviles.sostienen.por.mes.en.la.vivienda.","X.Cuántas.computadoras.de.escritorio..notebooks.y.o.netbooks.poseen.en.la.vivienda.","X.Cuántos.teléfonos.y.o.tablets.poseen.en.la.vivienda."
"1","CABA","VILLA 20",38,"No sabe","No","Buena","Sí","Más de 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","Si, con una ducha eléctrica","Sí","Si, con un termotanque a gas","Gas natural (red de gas)",NA,NA,NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Todo el tendido dentro de las paredes","No","No","No son frecuentes","No son frecuentes","Si inálambrico/satelital","Sí",2,0,3
"2","Mendoza","CONSTITUCIÓN",57,"A través de una conexión con medidor a la red pública","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","A pozo negro/ciego","Sí","No tengo agua caliente","Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","No son frecuentes","No son frecuentes","No poseo internet de banda ancha","No",0,0,1
"3","Mendoza","CONSTITUCIÓN",37,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Buena","No",NA,"Si, fuera de la vivienda",NA,"Sí","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","Si, con una ducha eléctrica","Sí","Si, con un termotanque a gas","Gas natural (red de gas)",NA,NA,NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 2 cortes en el mes","Por lo menos 2 cortes en el mes","No poseo internet de banda ancha","No",0,0,2
"4","CABA","VILLA 20",37,"A través de una conexión con medidor a la red pública","No","Buena","Sí","Más de 500 lts","Si, dentro de la vivienda",NA,"Sí","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","Si, con una ducha eléctrica","Sí","Si, con un termotanque a gas","Gas natural (red de gas)",NA,NA,NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Todo el tendido dentro de las paredes","No","Sí","No son frecuentes","No son frecuentes","Si inálambrico/satelital","Sí",2,0,1
"5","Mendoza","CONSTITUCIÓN",35,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","A pozo negro/ciego","Sí","Si, con un calefón eléctrico","No",NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,"Gas envasado (garrafa)",NA,NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 2 cortes en el mes","Por lo menos 1 corte en el mes","No poseo internet de banda ancha","Sí",1,0,2
"6","CABA","VILLA 20",70,"A través de un camión cisterna","Sí","Muy débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"Sí","Descargamos manualmente con baldes","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","Si, al menos dos electrodomésticos","No","Por lo menos 2 cortes en el mes","Por lo menos 3 cortes en el mes","Si inálambrico/satelital","No",1,0,3
"7","CABA","VILLA 20",58,"A través de una conexión sin medidor, es decir “informalmente”, sea a través de una conexión directa a la red pública o a través de una conexión indirecta a través de un vecinx “informalmente”","No","Débil","Sí","200 a 500 lts","Si, dentro de la vivienda",NA,"Sí","Si, posee cadena/botón de descarga","Desagüe a red cloacal pública","Sí","No tengo agua caliente","Sí","No tengo agua caliente en el baño",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Todo el tendido dentro de las paredes","Si, al menos dos electrodomésticos","No","Por lo menos 2 cortes en el mes","Más de 4 cortes mensuales","Si inálambrico/satelital","Sí",3,0,3
"8","Mendoza","CONSTITUCIÓN",36,"No poseo agua dentro de la vivienda y/o tengo que acarrear desde fuera del terreno en que se ubica mi vivienda","No","Débil","No",NA,"Si, fuera de la vivienda",NA,"No","Descargamos manualmente con baldes","A pozo negro/ciego","No",NA,"No",NA,NA,NA,NA,NA,"No tengo para cocinar en mi vivienda",NA,NA,NA,"Leña/Carbón",NA,NA,"Sí","Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Más de 4 cortes mensuales","Por lo menos 2 cortes en el mes","No poseo internet de banda ancha","Sí",1,0,1
"9","Mendoza","CONSTITUCIÓN",26,"No poseo agua dentro de la vivienda y/o tengo que acarrear desde fuera del terreno en que se ubica mi vivienda","No","Débil","No",NA,"Si, dentro de la vivienda",NA,"No","Descargamos manualmente con baldes","A pozo negro/ciego","No",NA,"No",NA,NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión sin medidor a una red eléctrica (“informal”)","Tendido fuera de las paredes o parcialmente fuera de las paredes","No","No","Por lo menos 3 cortes en el mes","Por lo menos 1 corte en el mes","No poseo internet de banda ancha","Sí",1,0,1
"10","La Rioja","VIRGEN DESATANUDOS",39,"A través de una conexión con medidor a la red pública","No","Buena","Sí","Más de 500 lts","Si, dentro de la vivienda",NA,"No","Si, posee cadena/botón de descarga","Desagüe a red cloacal informal/vecinal","Sí","Si, con un termotanque a gas","Sí","Si, con un calefón eléctrico",NA,"Gas natural (red de gas)",NA,NA,NA,NA,NA,"Electricidad",NA,NA,NA,NA,"Conexión a través de un medidor a la red eléctrica","Todo el tendido dentro de las paredes","No","No","Por lo menos 2 cortes en el mes","No son frecuentes","Si a través de cable (coaxial o ADSL)","Sí",2,0,5
